source,episode,t_env,mode,ep_length,completion_rate,on_time_rate,avg_delay,avg_delivery_time,order_generate_rate,total_completed
backend_wx,1,0,train,1062,1.0,0.96,2.56,161.9,21.24,50
backend_wx,2,1062,test,20000,0.82,0.9024390243902439,10.560975609756097,151.1219512195122,400.0,41
backend_wx,3,1062,train,1053,1.0,0.94,2.0,155.68,21.06,50
backend_wx,4,2115,train,1023,1.0,0.98,1.5,163.3,20.46,50
backend_wx,5,3138,train,1027,1.0,1.0,0.0,137.64,20.54,50
backend_wx,6,4165,train,1074,1.0,0.96,0.9,147.12,21.48,50
backend_wx,7,5239,train,1076,1.0,0.98,0.18,143.08,21.52,50
backend_wx,8,6315,train,1072,1.0,0.96,1.78,147.18,21.44,50
backend_wx,9,7387,train,1000,1.0,0.96,0.46,150.1,20.0,50
backend_wx,10,8387,train,1070,1.0,0.98,0.58,151.16,21.4,50
backend_wx,11,9457,train,1051,1.0,0.96,0.22,149.38,21.02,50
backend_wx,12,10508,train,1023,1.0,1.0,0.0,149.48,20.46,50
backend_wx,13,11531,train,1035,1.0,0.98,0.88,126.4,20.7,50
backend_wx,14,12566,train,1103,1.0,0.98,0.16,131.96,22.06,50
backend_wx,15,13669,train,1084,1.0,1.0,0.0,134.42,21.68,50
backend_wx,16,14753,train,1096,1.0,0.98,1.68,143.86,21.92,50
backend_wx,17,15849,train,1148,1.0,0.98,0.56,138.0,22.96,50
backend_wx,18,16997,train,1147,1.0,0.96,2.58,128.36,22.94,50
backend_wx,19,18144,train,1146,1.0,1.0,0.0,127.58,22.92,50
backend_wx,20,19290,train,1145,1.0,1.0,0.0,134.62,22.9,50
backend_wx,21,20435,train,1078,1.0,0.96,1.42,147.34,21.56,50
backend_wx,22,21513,train,1102,1.0,1.0,0.0,131.7,22.04,50
backend_wx,23,22615,train,1084,1.0,1.0,0.0,130.56,21.68,50
backend_wx,24,23699,train,1045,1.0,0.98,0.18,130.54,20.9,50
backend_wx,25,24744,train,1174,1.0,1.0,0.0,136.0,23.48,50
backend_wx,26,25918,train,1143,1.0,0.98,0.88,142.96,22.86,50
backend_wx,27,27061,train,1142,1.0,1.0,0.0,138.78,22.84,50
backend_wx,28,28203,train,1096,1.0,0.98,2.26,138.48,21.92,50
backend_wx,29,29299,train,1095,1.0,1.0,0.0,141.52,21.9,50
backend_wx,30,30394,train,1086,1.0,1.0,0.0,125.92,21.72,50
backend_wx,31,31480,train,1135,1.0,0.96,2.1,139.7,22.7,50
backend_wx,32,32615,train,1068,1.0,1.0,0.0,135.44,21.36,50
backend_wx,33,33683,train,1079,1.0,1.0,0.0,144.52,21.58,50
backend_wx,34,34762,train,1066,1.0,0.98,0.1,138.58,21.32,50
backend_wx,35,35828,train,1131,1.0,0.98,0.16,137.28,22.62,50
backend_wx,36,36959,train,1131,1.0,0.98,0.44,133.56,22.62,50
backend_wx,37,38090,train,1123,1.0,0.96,1.14,153.68,22.46,50
backend_wx,38,39213,train,1130,1.0,1.0,0.0,145.9,22.6,50
backend_wx,39,40343,train,1114,1.0,1.0,0.0,152.36,22.28,50
backend_wx,40,41457,test,20000,0.82,0.9024390243902439,3.1463414634146343,167.34146341463415,400.0,41
backend_wx,41,41457,train,1125,1.0,0.98,0.78,155.78,22.5,50
backend_wx,42,42582,train,1111,1.0,0.98,1.22,145.98,22.22,50
backend_wx,43,43693,train,1107,1.0,1.0,0.0,137.32,22.14,50
backend_wx,44,44800,train,1086,1.0,0.96,2.2,163.86,21.72,50
backend_wx,45,45886,train,1107,1.0,0.96,3.32,142.5,22.14,50
backend_wx,46,46993,train,1231,1.0,0.92,3.64,160.4,24.62,50
backend_wx,47,48224,train,1275,1.0,0.88,5.62,182.6,25.5,50
backend_wx,48,49499,train,1199,1.0,0.94,4.38,165.88,23.98,50
backend_wx,49,50698,train,1229,1.0,0.96,1.72,161.34,24.58,50
backend_wx,50,51927,train,1273,1.0,0.94,2.8,154.96,25.46,50
backend_wx,51,53200,train,1155,1.0,1.0,0.0,162.3,23.1,50
backend_wx,52,54355,train,1270,1.0,0.94,4.72,164.22,25.4,50
backend_wx,53,55625,train,1270,1.0,0.96,2.5,143.34,25.4,50
backend_wx,54,56895,train,1170,1.0,0.98,0.66,159.0,23.4,50
backend_wx,55,58065,train,1267,1.0,0.96,2.7,152.54,25.34,50
backend_wx,56,59332,train,1088,1.0,0.98,0.38,130.18,21.76,50
backend_wx,57,60420,train,1102,1.0,0.96,1.38,156.04,22.04,50
backend_wx,58,61522,train,1146,1.0,0.98,1.1,154.88,22.92,50
backend_wx,59,62668,train,1148,1.0,1.0,0.0,135.04,22.96,50
backend_wx,60,63816,train,1144,1.0,1.0,0.0,131.32,22.88,50
backend_wx,61,64960,train,1144,1.0,0.96,1.14,142.48,22.88,50
backend_wx,62,66104,train,1085,1.0,1.0,0.0,148.16,21.7,50
backend_wx,63,67189,train,1210,1.0,0.94,3.3,163.98,24.2,50
backend_wx,64,68399,train,1112,1.0,0.98,1.44,138.72,22.24,50
backend_wx,65,69511,train,1115,1.0,1.0,0.0,146.66,22.3,50
backend_wx,66,70626,train,1140,1.0,0.98,0.94,136.52,22.8,50
backend_wx,67,71766,train,1117,1.0,1.0,0.0,158.58,22.34,50
backend_wx,68,72883,train,1091,1.0,0.98,0.42,157.9,21.82,50
backend_wx,69,73974,train,1140,1.0,0.96,1.58,158.92,22.8,50
backend_wx,70,75114,train,1109,1.0,0.96,0.54,134.62,22.18,50
backend_wx,71,76223,train,1114,1.0,0.94,4.42,146.54,22.28,50
backend_wx,72,77337,train,1165,1.0,0.94,2.86,140.36,23.3,50
backend_wx,73,78502,train,1108,1.0,0.9,3.8,154.48,22.16,50
backend_wx,74,79610,train,20000,0.98,0.7959183673469388,15.673469387755102,165.69387755102042,400.0,49
backend_wx,75,99610,test,20000,0.88,0.9545454545454546,3.022727272727273,143.02272727272728,400.0,44
backend_wx,76,99610,train,1187,1.0,0.84,7.0,152.2,23.74,50
backend_wx,77,100797,train,1190,1.0,0.9,8.42,150.48,23.8,50
backend_wx,78,101987,train,1156,1.0,0.86,9.0,150.94,23.12,50
backend_wx,79,103143,train,1205,1.0,0.94,2.4,151.02,24.1,50
backend_wx,80,104348,train,20000,0.96,0.8958333333333334,4.125,157.33333333333334,400.0,48
backend_wx,81,124348,train,1151,1.0,0.92,5.24,147.68,23.02,50
backend_wx,82,125499,train,1127,1.0,0.82,14.0,151.06,22.54,50
backend_wx,83,126626,train,20000,0.98,0.8163265306122449,10.979591836734693,156.83673469387756,400.0,49
backend_wx,84,146626,test,20000,0.88,0.9545454545454546,4.795454545454546,148.04545454545453,400.0,44
backend_wx,85,146626,train,1120,1.0,0.9,3.16,144.64,22.4,50
backend_wx,86,147746,train,1197,1.0,0.86,7.72,154.24,23.94,50
backend_wx,87,148943,train,20000,0.98,0.9387755102040817,1.510204081632653,133.0204081632653,400.0,49
backend_wx,88,168943,train,1094,1.0,0.94,2.76,138.56,21.88,50
backend_wx,89,170037,train,20000,0.98,0.8367346938775511,15.26530612244898,148.81632653061226,400.0,49
backend_wx,90,190037,test,20000,0.88,0.8863636363636364,3.977272727272727,148.75,400.0,44
backend_wx,91,190037,train,1212,1.0,1.0,0.0,141.42,24.24,50
backend_wx,92,191249,train,20000,0.98,0.8163265306122449,11.73469387755102,153.0204081632653,400.0,49
backend_wx,93,211249,train,20000,0.98,0.8979591836734694,5.653061224489796,139.57142857142858,400.0,49
backend_wx,94,231249,test,20000,0.88,1.0,0.0,140.72727272727272,400.0,44
backend_wx,95,231249,train,1186,1.0,0.9,3.98,153.8,23.72,50
backend_wx,96,232435,train,1050,1.0,0.9,6.9,131.78,21.0,50
backend_wx,97,233485,train,20000,0.98,0.8979591836734694,11.816326530612244,143.40816326530611,400.0,49
backend_wx,98,253485,train,1106,1.0,0.92,8.1,136.8,22.12,50
backend_wx,99,254591,train,20000,0.96,0.8958333333333334,4.020833333333333,155.08333333333334,400.0,48
backend_wx,100,274591,test,20000,0.88,0.9090909090909091,5.045454545454546,145.8181818181818,400.0,44
backend_wx,101,274591,train,20000,0.98,0.8979591836734694,5.714285714285714,143.9591836734694,400.0,49
backend_wx,102,294591,train,1134,1.0,0.96,1.08,154.18,22.68,50
backend_wx,103,295725,train,20000,0.98,0.8775510204081632,5.489795918367347,158.0204081632653,400.0,49
backend_wx,104,315725,test,20000,0.88,0.9318181818181818,4.454545454545454,130.61363636363637,400.0,44
backend_wx,105,315725,train,1202,1.0,0.96,1.7,135.46,24.04,50
backend_wx,106,316927,train,1204,1.0,0.92,3.12,141.78,24.08,50
backend_wx,107,318131,train,1213,1.0,0.96,0.98,129.86,24.26,50
backend_wx,108,319344,train,20000,0.98,0.9183673469387755,6.244897959183674,139.46938775510205,400.0,49
backend_wx,109,339344,train,1085,1.0,0.88,2.32,151.7,21.7,50
backend_wx,110,340429,train,1224,1.0,0.88,11.02,137.68,24.48,50
backend_wx,111,341653,train,1135,1.0,0.96,1.3,128.98,22.7,50
backend_wx,112,342788,train,20000,0.98,0.7959183673469388,10.326530612244898,145.3265306122449,400.0,49
backend_wx,113,362788,test,20000,0.88,0.9772727272727273,1.0227272727272727,146.4090909090909,400.0,44
backend_wx,114,362788,train,20000,0.98,0.9183673469387755,6.142857142857143,144.89795918367346,400.0,49
backend_wx,115,382788,train,1053,1.0,0.9,1.7,139.96,21.06,50
backend_wx,116,383841,train,20000,0.98,0.8571428571428571,11.244897959183673,153.16326530612244,400.0,49
backend_wx,117,403841,test,20000,0.88,0.8863636363636364,8.75,163.97727272727272,400.0,44
